%time,AssimLight,BlackScr,CO2air,Cum_irr,EC_drain_PC,EnScr,HumDef,PipeGrow,PipeLow,Rhair,Tair,Tot_PAR,Tot_PAR_Lamps,VentLee,Ventwind,assim_sp,assim_vip,co2_dos,co2_sp,co2_vip,dx_sp,dx_vip,int_blue_sp,int_blue_vip,int_farred_sp,int_farred_vip,int_red_sp,int_red_vip,int_white_sp,int_white_vip,pH_drain_PC,scr_blck_sp,scr_blck_vip,scr_enrg_sp,scr_enrg_vip,t_grow_min_sp,t_grow_min_vip,t_heat_sp,t_heat_vip,t_rail_min_sp,t_rail_min_vip,t_vent_sp,t_ventlee_vip,t_ventwind_vip,water_sup,water_sup_intervals_sp_min,water_sup_intervals_vip_min,window_pos_lee_sp,window_pos_lee_vip
43815.00000,   0,  35,  472,  0.4,  4.0, 100,  7.2,  0.0, 45.2, 60.6, 20.9,    0,   0,   1,   0, NaN,   0,    NaN,  NaN,  400,  NaN,  2.2, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  4.0,  NaN, 1000,  NaN,  1.2
43815.00347,   0,  85,  501,  0.5,  4.0, 100,  6.9,  0.0, 43.6, 61.4, 20.7,    0,   0,   1,   0, NaN,   0, 0.0003,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.00694,   0,  96,  489,  0.5,  4.0, 100,  7.2,  0.0, 42.3, 60.9, 21.2,    0,   0,   1,   0, NaN,   0, 0.0004,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.01042,   0,  96,  497,  0.5,  4.0, 100,  6.7,  0.0, 41.2, 62.5, 20.7,    0,   0,   1,   0, NaN,   0, 0.0020,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.01389,   0,  96,  477,  0.5,  4.0, 100,  6.7,  0.0, 41.2, 62.7, 20.7,    0,   0,   1,   0, NaN,   0, 0.0016,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.01736,   0,  96,  492,  0.5,  4.0, 100,  6.7,  0.0, 41.6, 62.6, 20.6,    0,   0,   1,   0, NaN,   0, 0.0011,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.02083,   0,  96,  494,  0.5,  4.0, 100,  6.7,  0.0, 42.9, 62.5, 20.7,    0,   0,   1,   0, NaN,   0, 0.0006,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.02431,   0,  96,  496,  0.5,  4.0, 100,  6.7,  0.0, 45.4, 62.3, 20.6,    0,   0,   1,   0, NaN,   0, 0.0006,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.02778,   0,  96,  498,  0.5,  4.0, 100,  6.9,  0.0, 45.4, 61.8, 20.7,    0,   0,   1,   0, NaN,   0, 0.0006,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.03125,   0,  96,  495,  0.5,  4.0, 100,  7.1,  0.0, 44.3, 61.3, 21.0,    0,   0,   1,   0, NaN,   0, 0.0005,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.03472,   0,  96,  496,  0.5,  4.0, 100,  7.0,  0.0, 42.7, 61.0, 20.8,    0,   0,   1,   0, NaN,   0, 0.0005,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
43815.03819,   0,  96,  492,  0.5,  4.0, 100,  7.0,  0.0, 42.8, 61.1, 20.7,    0,   0,   1,   0, NaN,   0, 0.0004,  NaN,  400,  NaN,  2.2,   0, NaN,   0, NaN,   0, NaN,   0, NaN, 6.3, NaN,  96, NaN, 100,  NaN, 10.0,  NaN, 21.0,  NaN,  0.0,  NaN, 25.0, 26.0,  6.0,  NaN, 1000,  NaN,  1.2
