timestamp,temperature_f,humidity_rh,vpd_kpa,co2_ppm,ppfd_umol,substrate_moisture,ph,ec_ms_cm
2024-06-01 06:00:00,77.122,58.44,1.23,1016.9,784.4,33.047,6.01,2.178
2024-06-01 06:15:00,76.993,58.72,1.235,1014.0,800.5,36.691,6.037,2.14
2024-06-01 06:30:00,77.148,58.562,1.235,999.1,798.5,33.979,6.098,2.189
2024-06-01 06:45:00,76.829,59.472,1.221,1006.6,803.3,35.646,6.171,2.172
2024-06-01 07:00:00,76.795,58.779,1.225,1020.3,799.1,33.74,5.934,2.246
2024-06-01 07:15:00,77.297,60.815,1.173,1004.2,800.9,35.328,6.07,2.216
2024-06-01 07:30:00,77.272,60.101,1.212,1011.4,788.3,34.52,5.962,2.155
2024-06-01 07:45:00,76.89,62.242,1.165,1017.4,786.5,34.498,6.013,2.241
2024-06-01 08:00:00,77.284,61.19,1.186,991.7,806.9,34.713,5.898,2.121
2024-06-01 08:15:00,76.632,60.746,1.206,1012.4,796.6,35.238,6.05,2.178
2024-06-01 08:30:00,77.183,59.007,1.185,993.1,790.4,35.73,5.962,2.201
2024-06-01 08:45:00,77.192,60.67,1.227,998.2,796.6,34.88,5.865,2.099
2024-06-01 09:00:00,76.471,58.504,1.216,983.7,797.0,36.949,5.971,2.252
2024-06-01 09:15:00,76.627,59.692,1.162,993.9,806.7,32.409,6.035,2.217
2024-06-01 09:30:00,76.762,57.831,1.203,990.5,801.9,35.033,6.128,2.183
2024-06-01 09:45:00,76.591,60.269,1.209,1024.5,806.7,35.535,6.117,2.117
2024-06-01 10:00:00,76.744,58.61,1.184,975.2,805.1,34.667,5.882,2.129
2024-06-01 10:15:00,77.125,61.257,1.28,1052.4,803.3,33.516,5.829,2.219
2024-06-01 10:30:00,76.675,59.377,1.176,997.5,808.5,35.236,5.987,2.128
2024-06-01 10:45:00,76.33,59.271,1.198,1031.8,801.0,36.474,5.96,2.117
2024-06-01 11:00:00,76.614,58.912,1.285,985.2,806.7,33.646,6.075,2.227
2024-06-01 11:15:00,76.937,59.939,1.174,1008.0,796.4,33.162,5.898,2.212
2024-06-01 11:30:00,77.632,60.24,1.195,1005.1,810.4,35.329,5.967,2.277
2024-06-01 11:45:00,77.172,62.304,1.207,978.0,789.1,37.476,6.138,2.187
2024-06-01 12:00:00,76.847,62.192,1.156,983.9,805.1,34.408,6.0,2.189
2024-06-01 12:15:00,77.135,62.111,1.204,1011.6,783.6,34.927,5.933,2.115
2024-06-01 12:30:00,76.649,59.499,1.237,976.1,800.2,34.274,5.974,2.27
2024-06-01 12:45:00,77.215,62.006,1.194,987.5,798.2,35.364,6.014,2.124
2024-06-01 13:00:00,77.036,60.342,1.301,1033.8,793.2,34.569,5.883,2.159
2024-06-01 13:15:00,77.126,61.809,1.171,988.2,782.8,34.756,5.915,2.163
2024-06-01 13:30:00,76.649,59.859,1.13,973.6,817.0,33.069,5.912,2.329
2024-06-01 13:45:00,78.162,58.243,1.185,1006.1,813.8,33.52,5.98,2.254
2024-06-01 14:00:00,77.174,59.436,1.195,975.3,798.1,34.6,6.019,2.161
2024-06-01 14:15:00,77.189,61.519,1.206,1006.3,800.4,35.0,5.942,2.222
2024-06-01 14:30:00,76.961,63.14,1.263,1006.9,793.9,33.331,6.095,2.218
2024-06-01 14:45:00,77.192,57.383,1.237,1008.2,791.1,34.293,6.021,2.204
2024-06-01 15:00:00,76.883,59.845,1.19,1002.7,811.8,31.15,5.981,2.212
2024-06-01 15:15:00,77.118,59.442,1.13,1005.9,813.8,32.699,6.069,2.177
2024-06-01 15:30:00,76.975,58.421,1.187,1023.4,804.7,37.598,6.094,2.231
2024-06-01 15:45:00,77.698,60.658,1.233,994.7,800.5,33.954,6.079,2.118
2024-06-01 16:00:00,77.313,59.714,1.247,1013.5,814.6,36.096,5.874,2.195
2024-06-01 16:15:00,76.531,59.223,1.26,1011.5,794.4,33.479,6.003,2.115
2024-06-01 16:30:00,76.732,60.468,1.246,1011.0,781.7,35.457,6.006,2.229
2024-06-01 16:45:00,77.646,56.905,1.176,1010.6,787.3,37.214,6.029,2.259
2024-06-01 17:00:00,76.772,61.221,1.243,1004.2,801.9,35.406,5.931,2.19
2024-06-01 17:15:00,76.939,60.575,1.24,980.9,799.0,37.222,5.941,2.142
2024-06-01 17:30:00,77.081,61.267,1.2,1023.9,806.9,36.263,6.044,2.363
2024-06-01 17:45:00,76.918,56.995,1.264,991.8,800.9,36.964,5.872,2.112
2024-06-01 18:00:00,76.359,58.809,1.218,1009.4,802.2,32.881,5.815,2.204
2024-06-01 18:15:00,76.811,60.689,1.228,1002.5,806.1,35.344,6.042,2.151
2024-06-01 18:30:00,76.928,60.295,1.233,992.9,804.2,34.601,5.991,2.258
2024-06-01 18:45:00,76.203,58.055,1.141,958.0,794.6,36.124,5.977,2.214
2024-06-01 19:00:00,77.436,61.992,1.197,1024.4,800.7,33.744,5.952,2.096
2024-06-01 19:15:00,76.645,59.463,1.232,1031.0,788.9,35.589,5.917,2.233
2024-06-01 19:30:00,76.948,57.254,1.237,989.1,795.7,33.395,5.948,2.23
2024-06-01 19:45:00,76.924,60.493,1.214,1023.8,797.3,32.785,6.085,2.177
2024-06-01 20:00:00,77.446,60.575,1.195,1006.3,815.6,38.115,6.006,2.211
2024-06-01 20:15:00,77.43,58.732,1.213,999.5,802.5,33.75,5.873,2.055
2024-06-01 20:30:00,76.553,59.312,1.188,1034.9,808.8,33.557,6.028,2.172
2024-06-01 20:45:00,76.886,60.278,1.225,993.9,808.5,33.287,6.001,2.382
2024-06-01 21:00:00,77.089,62.15,1.204,1010.5,799.5,34.744,5.938,2.23
2024-06-01 21:15:00,76.659,60.998,1.243,1006.6,797.7,35.681,5.975,2.265
2024-06-01 21:30:00,76.267,59.497,1.12,973.1,810.9,36.343,5.942,2.095
2024-06-01 21:45:00,75.814,59.185,1.297,1007.8,795.5,35.698,5.875,2.179
2024-06-01 22:00:00,77.04,59.871,1.232,1006.2,805.3,33.967,6.072,2.314
2024-06-01 22:15:00,76.612,58.668,1.253,996.6,811.2,34.336,6.116,2.209
2024-06-01 22:30:00,77.103,62.347,1.186,983.1,796.4,35.679,5.875,2.245
2024-06-01 22:45:00,76.784,61.722,1.104,985.8,786.5,33.761,6.02,2.187
2024-06-01 23:00:00,76.899,59.761,1.208,981.8,805.7,35.994,6.031,2.239
2024-06-01 23:15:00,77.119,63.053,1.197,994.5,794.0,33.452,5.9,2.138
2024-06-01 23:30:00,76.972,60.501,1.202,986.2,807.2,36.109,5.987,2.154
2024-06-01 23:45:00,77.219,60.282,1.142,998.8,802.1,33.65,6.015,2.098
2024-06-02 00:00:00,77.534,61.872,1.19,1006.5,780.7,33.265,5.976,2.125
2024-06-02 00:15:00,77.286,62.996,1.153,984.9,801.9,37.417,5.902,2.217
2024-06-02 00:30:00,77.729,57.522,1.149,992.4,795.8,36.219,6.019,2.076
2024-06-02 00:45:00,77.206,59.134,1.251,988.7,794.9,35.812,6.061,2.231
2024-06-02 01:00:00,76.326,60.807,1.159,1004.2,788.6,35.669,5.935,2.11
2024-06-02 01:15:00,77.286,60.362,1.175,1026.1,796.5,35.048,6.022,2.157
2024-06-02 01:30:00,77.188,59.2,1.184,1024.5,791.7,31.381,6.129,2.378
2024-06-02 01:45:00,76.838,57.095,1.188,994.8,798.5,33.33,6.046,2.237
2024-06-02 02:00:00,76.402,61.049,1.282,1003.1,797.3,34.787,6.049,2.079
2024-06-02 02:15:00,77.153,59.864,1.258,995.4,813.3,33.444,6.052,2.219
2024-06-02 02:30:00,76.827,61.166,1.216,991.2,786.5,35.174,5.938,2.169
2024-06-02 02:45:00,77.23,58.792,1.087,1004.2,795.8,31.453,6.078,2.208
2024-06-02 03:00:00,77.064,59.825,1.168,1000.3,819.1,36.03,6.051,2.173
2024-06-02 03:15:00,77.764,63.188,1.169,983.1,796.5,34.781,6.088,2.286
2024-06-02 03:30:00,77.341,62.063,1.115,986.6,807.6,32.222,5.964,2.123
2024-06-02 03:45:00,76.684,61.705,1.05,985.9,808.9,35.332,5.953,2.17
2024-06-02 04:00:00,78.12,62.136,1.034,998.1,798.2,36.771,6.039,2.219
2024-06-02 04:15:00,77.373,64.032,1.045,964.6,787.5,36.929,6.017,2.095
2024-06-02 04:30:00,77.837,66.192,0.946,958.1,792.6,38.192,6.073,2.216
2024-06-02 04:45:00,77.506,63.271,1.039,984.5,804.4,35.818,6.077,2.17
2024-06-02 05:00:00,78.361,66.611,0.94,941.5,808.0,37.982,5.978,2.025
2024-06-02 05:15:00,78.177,67.246,1.061,989.8,797.0,34.96,6.066,2.13
2024-06-02 05:30:00,77.819,69.373,1.044,999.4,792.6,37.683,6.121,2.178
2024-06-02 05:45:00,78.812,67.703,0.986,989.0,802.7,33.825,6.082,2.105
2024-06-02 06:00:00,77.888,69.723,1.009,1000.5,802.0,38.626,6.081,2.154
2024-06-02 06:15:00,78.05,68.245,0.926,951.1,799.6,36.58,6.229,2.199
2024-06-02 06:30:00,78.58,68.473,0.909,969.3,791.3,36.573,6.03,2.045
2024-06-02 06:45:00,78.867,69.137,0.82,969.3,808.0,38.489,6.177,2.131
2024-06-02 07:00:00,78.412,67.374,0.889,976.8,810.3,38.65,6.089,2.038
2024-06-02 07:15:00,78.71,69.776,0.851,958.1,802.0,36.344,6.055,2.143
2024-06-02 07:30:00,78.764,70.266,0.853,946.5,796.2,39.357,6.017,1.969
2024-06-02 07:45:00,78.268,70.394,0.827,963.4,809.7,33.291,6.147,2.223
2024-06-02 08:00:00,78.649,70.23,0.78,947.9,797.4,39.541,6.267,2.086
2024-06-02 08:15:00,79.95,71.303,0.864,960.8,801.0,38.048,6.379,2.166
2024-06-02 08:30:00,78.992,73.153,0.763,952.2,807.3,37.647,6.152,2.103
2024-06-02 08:45:00,79.497,72.787,0.684,971.5,792.1,35.537,6.13,2.105
2024-06-02 09:00:00,79.173,73.847,0.691,950.7,795.3,37.73,6.162,2.024
2024-06-02 09:15:00,79.827,73.145,0.653,921.2,799.9,37.569,6.137,2.089
2024-06-02 09:30:00,79.715,74.921,0.668,933.9,791.3,38.433,6.25,2.057
2024-06-02 09:45:00,78.712,71.394,0.663,943.5,796.7,38.158,6.13,2.157
2024-06-02 10:00:00,79.53,73.107,0.699,924.4,803.1,38.354,6.148,2.191
