spindle_vibration,spindle_motor_current,coolant_flow_rate,axis_servo_load,cutting_zone_temperature
0.082494,-0.464418,0.050515,0.686231,-1.756791
1.684432,-0.457843,-0.596420,-1.046968,0.931792
0.674980,1.244441,0.893087,0.263005,0.328518
0.935244,-0.877613,-0.045896,0.381872,-0.452539
0.721665,-0.352163,0.672797,0.140623,0.462561
-1.517653,-0.860298,1.344569,0.178086,-0.081318
0.963701,0.750889,-0.046759,-0.643081,1.960935
0.690720,-1.572055,0.839465,0.768478,0.813918
-0.403895,1.471331,-0.747999,1.211136,0.292586
1.697339,-0.388612,0.696424,0.844832,-0.323761
0.011252,-0.414603,0.478243,0.688545,-0.291656
0.345936,-0.581885,-0.521099,-1.922587,-1.174042
-0.673934,0.108183,1.520330,0.269042,0.091361
0.347901,-1.401488,0.048380,-0.868114,-0.573721
2.036301,1.847373,0.977152,0.543007,0.503599
-0.965119,-1.255451,0.334720,-0.447193,-0.776720
-0.080322,-0.072473,0.189223,-0.739600,0.017308
-1.239308,1.226832,1.519204,-1.104399,0.427307
-0.220974,0.113715,0.062852,1.193088,0.553272
-0.868517,0.080181,-0.017563,-0.798229,0.204338
-0.022789,1.359274,-0.187872,0.440993,-2.247870
-1.677611,0.327230,0.129049,0.908819,-1.152243
-0.284819,-2.492378,-0.836597,-0.433337,-0.096901
-0.554782,0.954104,-1.447816,-1.283097,0.460357
-0.379111,1.336551,0.689122,0.332665,-1.714086
-0.617610,0.267986,-0.643845,0.282145,0.299291
-0.831253,-1.113718,0.967496,0.048327,0.054982
0.961437,1.733206,-2.809351,1.454598,0.998154
-0.295769,1.179650,-0.083498,1.597117,1.139305
0.412462,-0.622525,0.087374,-0.875513,-0.701991
0.179789,-0.128100,-0.667241,1.649085,-0.553271
-0.029043,-0.002521,-2.190640,2.616367,-0.576037
0.738360,-2.150467,-0.167787,-1.638829,-0.507670
1.265501,0.781164,0.619959,0.500732,-1.755125
-1.139513,0.546003,1.359534,0.454625,0.569095
0.545120,0.698527,0.480903,-1.105321,0.972805
-0.901801,-1.469089,0.128792,-1.333994,-1.081633
0.101767,-0.822435,-0.889627,0.455907,1.110391
0.731089,0.898307,-1.483177,0.654064,-0.013031
-0.716844,-0.301731,-0.382562,-1.048991,-1.949824
0.370423,0.255924,1.329645,1.139494,0.184938
0.850954,1.538774,-0.694790,-0.262444,0.269831
-1.358249,-1.084099,0.661251,-0.430878,0.453195
-0.114610,1.234110,0.274511,0.133197,-0.276962
-1.024360,-1.547766,2.667341,0.315147,1.029874
-0.884190,0.470123,0.381849,-0.864122,2.018054
1.492376,-0.160531,1.117511,1.186298,0.591059
0.541189,0.145873,0.010900,-1.434370,-0.425008
0.465926,-0.247269,1.105783,0.100717,-0.834925
-1.248746,-0.925001,-0.034802,-0.213312,-2.719532
0.542553,1.592826,-0.693920,0.465077,-0.771811
1.302143,-0.797724,-0.178959,1.439412,0.936263
-0.315350,1.236303,0.640275,1.064563,1.536453
1.633606,-0.888096,-0.832749,0.529379,-0.299159
-3.148824,0.976024,-1.264811,-0.295496,-0.683148
